freq_MHz,attenuation_dB,phase_rad
2.806654,3.413709,-2.418466
2.831068,3.483367,-2.439645
2.855482,3.554331,-2.460806
2.879896,3.626616,-2.481947
2.904311,3.700236,-2.503066
2.928725,3.775206,-2.524160
2.953139,3.851540,-2.545226
2.977553,3.929250,-2.566262
3.001968,4.008349,-2.587266
3.026382,4.088849,-2.608235
3.050796,4.170760,-2.629166
3.075210,4.254094,-2.650057
3.099625,4.338859,-2.670905
3.124039,4.425066,-2.691707
3.148453,4.512722,-2.712461
3.172867,4.601836,-2.733163
3.197282,4.692414,-2.753811
3.221696,4.784464,-2.774403
3.246110,4.878011,-2.794938
3.270524,4.973132,-2.815424
3.294939,5.069746,-2.835846
3.319353,5.167854,-2.856200
3.343767,5.267457,-2.876483
3.368181,5.368561,-2.896694
3.392596,5.471166,-2.916828
3.417010,5.575275,-2.936885
3.441424,5.680889,-2.956860
3.465838,5.788010,-2.976753
3.490253,5.896637,-2.996559
3.514667,6.006773,-3.016278
3.539081,6.118415,-3.035905
3.563495,6.231566,-3.055441
3.587909,6.346223,-3.074881
3.612324,6.462387,-3.094224
3.636738,6.580057,-3.113467
3.661152,6.699233,-3.132610
3.685566,6.819914,3.131536
3.709981,6.942100,3.112602
3.734395,7.065790,3.093775
3.758809,7.190985,3.075057
3.783223,7.317684,3.056449
3.807638,7.445888,3.037954
3.832052,7.575597,3.019572
3.856466,7.706814,3.001305
3.880880,7.839540,2.983154
3.905295,7.973777,2.965122
3.929709,8.109528,2.947208
3.954123,8.246797,2.929415
3.978537,8.385589,2.911744
4.002952,8.525917,2.894194
4.027366,8.668042,2.876745
4.051780,8.811720,2.859421
4.076194,8.956948,2.842222
4.100609,9.103735,2.825150
4.125023,9.252092,2.808207
4.149437,9.402032,2.791392
4.173851,9.553566,2.774706
4.198265,9.706711,2.758150
4.222680,9.861482,2.741725
4.247094,10.017896,2.725431
4.271508,10.175975,2.709269
4.295922,10.335739,2.693240
4.320337,10.497211,2.677345
4.344751,10.660418,2.661583
4.369165,10.825387,2.645956
4.393579,10.992147,2.630464
4.417994,11.160731,2.615107
4.442408,11.331173,2.599888
4.466822,11.503512,2.584805
4.491236,11.677787,2.569860
4.515651,11.854042,2.555054
4.540065,12.032323,2.540388
4.564479,12.212679,2.525862
4.588893,12.395164,2.511477
4.613308,12.579834,2.497235
4.637722,12.766751,2.483136
4.662136,12.955979,2.469182
4.686550,13.147587,2.455375
4.710965,13.341649,2.441715
4.735379,13.538245,2.428205
4.759793,13.737459,2.414847
4.784207,13.939380,2.401642
4.808621,14.144105,2.388593
4.833036,14.351736,2.375702
4.857450,14.562383,2.362973
4.881864,14.776161,2.350408
4.906278,14.993197,2.338011
4.930693,15.213624,2.325786
4.955107,15.437584,2.313736
4.979521,15.665230,2.301868
5.003935,15.896726,2.290186
5.028350,16.132247,2.278695
5.052764,16.371981,2.267403
5.077178,16.616130,2.256317
5.101592,16.864910,2.245444
5.126007,17.118556,2.234795
5.150421,17.377319,2.224378
5.174835,17.641471,2.214206
5.199249,17.911303,2.204290
5.223664,18.187134,2.194646
5.248078,18.469306,2.185288
5.272492,18.758192,2.176236
5.296906,19.054197,2.167509
5.321321,19.357762,2.159130
5.345735,19.669367,2.151125
5.370149,19.989538,2.143525
5.394563,20.318852,2.136363
5.418977,20.657939,2.129679
5.443392,21.007495,2.123517
5.467806,21.368288,2.117929
5.492220,21.741164,2.112975
5.516634,22.127063,2.108727
5.541049,22.527027,2.105266
5.565463,22.942218,2.102689
5.589877,23.373931,2.101113
5.614291,23.823615,2.100676
5.638706,24.292891,2.101542
5.663120,24.783578,2.103913
5.687534,25.297715,2.108035
5.711948,25.837585,2.114209
5.736363,26.405734,2.122810
5.760777,27.004983,2.134311
5.785191,27.638410,2.149307
5.809605,28.309294,2.168564
5.834020,29.020958,2.193069
5.858434,29.776458,2.224109
5.882848,30.577940,2.263375
5.907262,31.425436,2.313082
5.931677,32.314633,2.376112
5.956091,33.232949,2.456101
5.980505,34.153148,2.557314
6.004919,35.024610,2.683955
6.029333,35.766079,2.838349
6.053748,36.271463,3.017856
6.078162,36.443480,-3.070975
6.102576,36.246269,-2.878079
6.126990,35.729418,-2.702289
6.151405,34.995373,-2.552511
6.175819,34.147470,-2.430293
6.200233,33.261552,-2.332795
6.224647,32.383581,-2.255712
6.249062,31.537708,-2.194860
6.273476,30.734720,-2.146732
6.297890,29.977963,-2.108571
6.322304,29.266919,-2.078259
6.346719,28.599220,-2.054185
6.371133,27.971730,-2.035118
6.395547,27.381114,-2.020114
6.419961,26.824120,-2.008441
6.444376,26.297710,-1.999524
6.468790,25.799110,-1.992912
6.493204,25.325817,-1.988243
6.517618,24.875591,-1.985226
6.542033,24.446432,-1.983622
6.566447,24.036553,-1.983239
6.590861,23.644364,-1.983914
6.615275,23.268442,-1.985514
6.639689,22.907514,-1.987928
6.664104,22.560438,-1.991059
6.688518,22.226189,-1.994828
6.712932,21.903841,-1.999165
6.737346,21.592561,-2.004013
6.761761,21.291591,-2.009319
6.786175,21.000246,-2.015040
6.810589,20.717902,-2.021138
6.835003,20.443988,-2.027578
6.859418,20.177986,-2.034332
6.883832,19.919418,-2.041374
6.908246,19.667847,-2.048681
6.932660,19.422872,-2.056233
6.957075,19.184121,-2.064012
6.981489,18.951254,-2.072002
7.005903,18.723954,-2.080188
7.030317,18.501927,-2.088559
7.054732,18.284904,-2.097103
7.079146,18.072632,-2.105810
7.103560,17.864875,-2.114670
7.127974,17.661417,-2.123675
7.152389,17.462052,-2.132819
7.176803,17.266591,-2.142094
7.201217,17.074856,-2.151494
7.225631,16.886681,-2.161014
7.250045,16.701909,-2.170649
7.274460,16.520394,-2.180395
7.298874,16.341999,-2.190247
7.323288,16.166596,-2.200202
7.347702,15.994061,-2.210257
7.372117,15.824283,-2.220408
7.396531,15.657153,-2.230653
7.420945,15.492570,-2.240990
7.445359,15.330439,-2.251416
7.469774,15.170670,-2.261929
7.494188,15.013178,-2.272527
7.518602,14.857882,-2.283209
7.543016,14.704708,-2.293974
7.567431,14.553583,-2.304819
7.591845,14.404441,-2.315744
7.616259,14.257216,-2.326748
7.640673,14.111850,-2.337830
7.665088,13.968284,-2.348988
7.689502,13.826465,-2.360223
7.713916,13.686342,-2.371533
7.738330,13.547866,-2.382918
7.762745,13.410993,-2.394377
7.787159,13.275679,-2.405910
7.811573,13.141883,-2.417516
7.835987,13.009567,-2.429195
7.860401,12.878736,-2.440952
7.884816,12.749340,-2.452784
7.909230,12.621320,-2.464690
7.933644,12.494643,-2.476667
7.958058,12.369282,-2.488715
7.982473,12.245208,-2.500836
8.006887,12.122398,-2.513027
8.031301,12.000827,-2.525290
8.055715,11.880473,-2.537625
8.080130,11.761314,-2.550030
8.104544,11.643332,-2.562506
8.128958,11.526509,-2.575052
8.153372,11.410827,-2.587670
8.177787,11.296270,-2.600358
8.202201,11.182824,-2.613116
8.226615,11.070476,-2.625945
8.251029,10.959213,-2.638844
8.275444,10.849023,-2.651813
8.299858,10.739896,-2.664852
8.324272,10.631822,-2.677960
8.348686,10.524793,-2.691138
8.373101,10.418801,-2.704386
8.397515,10.313838,-2.717702
8.421929,10.209899,-2.731087
8.446343,10.106978,-2.744540
8.470758,10.005070,-2.758061
8.495172,9.904171,-2.771651
8.519586,9.804277,-2.785307
8.544000,9.705385,-2.799030
8.568414,9.607494,-2.812820
8.592829,9.510600,-2.826676
8.617243,9.414704,-2.840597
8.641657,9.319803,-2.854583
8.666071,9.225898,-2.868633
8.690486,9.132988,-2.882747
8.714900,9.041074,-2.896924
8.739314,8.950157,-2.911163
8.763728,8.860237,-2.925463
8.788143,8.771316,-2.939823
8.812557,8.683396,-2.954243
8.836971,8.596477,-2.968722
8.861385,8.510563,-2.983258
8.885800,8.425655,-2.997851
8.910214,8.341755,-3.012500
8.934628,8.258867,-3.027203
8.959042,8.176991,-3.041959
8.983457,8.096132,-3.056768
9.007871,8.016291,-3.071627
9.032285,7.937471,-3.086535
9.056699,7.859675,-3.101492
9.081114,7.782904,-3.116496
9.105528,7.707162,-3.131545
9.129942,7.632450,3.136548
9.154356,7.558770,3.121413
9.178770,7.486125,3.106237
9.203185,7.414516,3.091022
9.227599,7.343944,3.075770
9.252013,7.274411,3.060482
9.276427,7.205918,3.045160
9.300842,7.138466,3.029806
9.325256,7.072054,3.014422
9.349670,7.006684,2.999008
9.374084,6.942354,2.983568
9.398499,6.879065,2.968103
9.422913,6.816814,2.952615
9.447327,6.755601,2.937106
9.471741,6.695425,2.921578
9.496156,6.636282,2.906033
9.520570,6.578170,2.890472
9.544984,6.521086,2.874898
9.569398,6.465026,2.859313
9.593813,6.409987,2.843719
9.618227,6.355964,2.828117
9.642641,6.302952,2.812511
9.667055,6.250946,2.796901
9.691470,6.199940,2.781289
9.715884,6.149927,2.765679
9.740298,6.100901,2.750071
9.764712,6.052854,2.734468
9.789126,6.005779,2.718871
9.813541,5.959667,2.703283
9.837955,5.914511,2.687706
9.862369,5.870300,2.672140
9.886783,5.827025,2.656589
9.911198,5.784676,2.641054
9.935612,5.743243,2.625537
9.960026,5.702715,2.610039
9.984440,5.663080,2.594563
10.008855,5.624327,2.579109
10.033269,5.586445,2.563680
10.057683,5.549419,2.548278
10.082097,5.513239,2.532903
10.106512,5.477891,2.517557
10.130926,5.443362,2.502243
10.155340,5.409637,2.486960
10.179754,5.376703,2.471711
10.204169,5.344546,2.456498
10.228583,5.313152,2.441320
10.252997,5.282505,2.426180
10.277411,5.252591,2.411078
10.301826,5.223395,2.396017
10.326240,5.194902,2.380996
10.350654,5.167096,2.366017
10.375068,5.139962,2.351081
10.399482,5.113484,2.336188
10.423897,5.087647,2.321341
10.448311,5.062435,2.306538
10.472725,5.037831,2.291782
10.497139,5.013820,2.277073
10.521554,4.990387,2.262411
10.545968,4.967515,2.247798
10.570382,4.945188,2.233233
10.594796,4.923391,2.218717
10.619211,4.902107,2.204251
10.643625,4.881321,2.189834
10.668039,4.861017,2.175468
10.692453,4.841180,2.161153
10.716868,4.821793,2.146888
10.741282,4.802842,2.132675
10.765696,4.784311,2.118512
10.790110,4.766184,2.104401
10.814525,4.748448,2.090341
10.838939,4.731086,2.076332
10.863353,4.714085,2.062375
10.887767,4.697429,2.048468
10.912182,4.681104,2.034613
10.936596,4.665096,2.020809
10.961010,4.649391,2.007055
10.985424,4.633975,1.993352
11.009838,4.618835,1.979699
11.034253,4.603956,1.966096
11.058667,4.589326,1.952543
11.083081,4.574932,1.939039
11.107495,4.560761,1.925584
11.131910,4.546801,1.912177
11.156324,4.533039,1.898818
11.180738,4.519463,1.885506
11.205152,4.506062,1.872242
11.229567,4.492823,1.859023
11.253981,4.479736,1.845851
11.278395,4.466790,1.832724
11.302809,4.453973,1.819642
11.327224,4.441275,1.806603
11.351638,4.428686,1.793608
11.376052,4.416195,1.780656
11.400466,4.403794,1.767746
11.424881,4.391471,1.754877
11.449295,4.379219,1.742049
11.473709,4.367027,1.729261
11.498123,4.354888,1.716511
11.522538,4.342792,1.703801
11.546952,4.330731,1.691127
11.571366,4.318697,1.678491
11.595780,4.306682,1.665891
11.620194,4.294679,1.653326
11.644609,4.282680,1.640795
11.669023,4.270677,1.628298
11.693437,4.258665,1.615834
11.717851,4.246637,1.603402
11.742266,4.234585,1.591001
11.766680,4.222505,1.578629
11.791094,4.210389,1.566288
11.815508,4.198232,1.553975
11.839923,4.186029,1.541689
11.864337,4.173774,1.529430
11.888751,4.161462,1.517197
11.913165,4.149089,1.504990
11.937580,4.136649,1.492806
11.961994,4.124138,1.480645
11.986408,4.111552,1.468507
12.010822,4.098887,1.456390
12.035237,4.086139,1.444294
12.059651,4.073304,1.432217
12.084065,4.060380,1.420160
12.108479,4.047362,1.408120
12.132894,4.034247,1.396097
12.157308,4.021034,1.384090
12.181722,4.007718,1.372098
12.206136,3.994298,1.360121
12.230550,3.980772,1.348158
12.254965,3.967136,1.336206
12.279379,3.953390,1.324267
12.303793,3.939531,1.312338
12.328207,3.925558,1.300420
12.352622,3.911470,1.288510
12.377036,3.897264,1.276609
12.401450,3.882941,1.264715
12.425864,3.868499,1.252827
12.450279,3.853937,1.240946
12.474693,3.839255,1.229069
12.499107,3.824453,1.217196
12.523521,3.809529,1.205326
12.547936,3.794485,1.193458
12.572350,3.779319,1.181592
12.596764,3.764032,1.169726
12.621178,3.748626,1.157861
12.645593,3.733099,1.145994
12.670007,3.717452,1.134126
12.694421,3.701687,1.122255
12.718835,3.685805,1.110381
12.743250,3.669805,1.098502
12.767664,3.653691,1.086619
12.792078,3.637462,1.074730
12.816492,3.621120,1.062834
12.840906,3.604668,1.050931
12.865321,3.588106,1.039021
12.889735,3.571437,1.027102
12.914149,3.554663,1.015173
12.938563,3.537785,1.003234
12.962978,3.520806,0.991284
12.987392,3.503729,0.979323
13.011806,3.486555,0.967350
13.036220,3.469288,0.955364
13.060635,3.451930,0.943364
13.085049,3.434485,0.931350
13.109463,3.416954,0.919321
13.133877,3.399342,0.907277
13.158292,3.381651,0.895217
13.182706,3.363885,0.883139
13.207120,3.346047,0.871045
13.231534,3.328141,0.858932
13.255949,3.310170,0.846801
13.280363,3.292138,0.834651
13.304777,3.274049,0.822481
13.329191,3.255907,0.810291
13.353606,3.237716,0.798081
13.378020,3.219481,0.785849
13.402434,3.201204,0.773595
13.426848,3.182891,0.761319
13.451263,3.164546,0.749020
13.475677,3.146174,0.736698
13.500091,3.127778,0.724353
13.524505,3.109365,0.711983
13.548919,3.090938,0.699588
13.573334,3.072502,0.687169
13.597748,3.054062,0.674725
13.622162,3.035624,0.662254
13.646576,3.017191,0.649758
13.670991,2.998770,0.637235
13.695405,2.980365,0.624686
13.719819,2.961981,0.612109
13.744233,2.943624,0.599505
13.768648,2.925300,0.586874
13.793062,2.907012,0.574214
13.817476,2.888767,0.561526
13.841890,2.870570,0.548810
13.866305,2.852427,0.536065
13.890719,2.834343,0.523291
13.915133,2.816323,0.510488
13.939547,2.798373,0.497656
13.963962,2.780499,0.484795
13.988376,2.762705,0.471904
14.012790,2.744998,0.458983
14.037204,2.727384,0.446033
14.061619,2.709867,0.433053
14.086033,2.692453,0.420043
14.110447,2.675148,0.407003
14.134861,2.657957,0.393934
14.159275,2.640886,0.380834
14.183690,2.623940,0.367704
14.208104,2.607125,0.354545
14.232518,2.590445,0.341355
14.256932,2.573907,0.328136
14.281347,2.557516,0.314887
14.305761,2.541277,0.301608
14.330175,2.525195,0.288299
14.354589,2.509275,0.274961
14.379004,2.493523,0.261594
14.403418,2.477943,0.248198
14.427832,2.462540,0.234773
14.452246,2.447320,0.221318
14.476661,2.432287,0.207836
14.501075,2.417445,0.194325
14.525489,2.402799,0.180785
14.549903,2.388355,0.167218
14.574318,2.374115,0.153623
14.598732,2.360084,0.140001
14.623146,2.346268,0.126351
14.647560,2.332668,0.112675
14.671975,2.319290,0.098972
14.696389,2.306138,0.085243
14.720803,2.293214,0.071488
14.745217,2.280522,0.057708
14.769631,2.268067,0.043902
14.794046,2.255850,0.030072
14.818460,2.243876,0.016217
14.842874,2.232146,0.002337
14.867288,2.220665,-0.011565
14.891703,2.209434,-0.025492
14.916117,2.198456,-0.039441
14.940531,2.187733,-0.053413
14.964945,2.177268,-0.067407
14.989360,2.167062,-0.081423
15.013774,2.157117,-0.095460
15.038188,2.147436,-0.109519
15.062602,2.138019,-0.123598
15.087017,2.128868,-0.137697
15.111431,2.119983,-0.151816
15.135845,2.111367,-0.165955
15.160259,2.103020,-0.180112
15.184674,2.094942,-0.194289
15.209088,2.087134,-0.208483
15.233502,2.079597,-0.222696
15.257916,2.072330,-0.236926
15.282331,2.065334,-0.251173
15.306745,2.058608,-0.265437
15.331159,2.052152,-0.279718
15.355573,2.045966,-0.294015
15.379987,2.040049,-0.308327
15.404402,2.034400,-0.322656
15.428816,2.029019,-0.336999
15.453230,2.023904,-0.351357
15.477644,2.019054,-0.365730
15.502059,2.014468,-0.380118
15.526473,2.010145,-0.394520
15.550887,2.006082,-0.408936
15.575301,2.002278,-0.423365
15.599716,1.998732,-0.437808
15.624130,1.995441,-0.452265
15.648544,1.992404,-0.466735
15.672958,1.989618,-0.481218
15.697373,1.987081,-0.495714
15.721787,1.984791,-0.510223
15.746201,1.982746,-0.524746
15.770615,1.980943,-0.539281
15.795030,1.979379,-0.553829
15.819444,1.978052,-0.568390
15.843858,1.976960,-0.582964
15.868272,1.976101,-0.597551
15.892687,1.975470,-0.612151
15.917101,1.975066,-0.626764
15.941515,1.974887,-0.641391
15.965929,1.974928,-0.656031
15.990343,1.975189,-0.670686
16.014758,1.924912,-0.684367
16.039172,1.923791,-0.699048
16.063586,1.924664,-0.713779
16.088000,1.925748,-0.728525
16.112415,1.927039,-0.743286
16.136829,1.928536,-0.758063
16.161243,1.930236,-0.772855
16.185657,1.932137,-0.787664
16.210072,1.934237,-0.802490
16.234486,1.936533,-0.817334
16.258900,1.939023,-0.832195
16.283314,1.941707,-0.847075
16.307729,1.944581,-0.861974
16.332143,1.947646,-0.876892
16.356557,1.950898,-0.891831
16.380971,1.954338,-0.906792
16.405386,1.957965,-0.921773
16.429800,1.961777,-0.936778
16.454214,1.965774,-0.951805
16.478628,1.969956,-0.966857
16.503043,1.974322,-0.981933
16.527457,1.978874,-0.997036
16.551871,1.983611,-1.012165
16.576285,1.988535,-1.027321
16.600699,1.993646,-1.042506
16.625114,1.998946,-1.057720
16.649528,2.004437,-1.072965
16.673942,2.010120,-1.088241
16.698356,2.015999,-1.103550
16.722771,2.022075,-1.118892
16.747185,2.028353,-1.134269
16.771599,2.034835,-1.149682
16.796013,2.041526,-1.165131
16.820428,2.048430,-1.180619
16.844842,2.055552,-1.196145
16.869256,2.062897,-1.211712
16.893670,2.070471,-1.227321
16.918085,2.078280,-1.242972
16.942499,2.086331,-1.258667
16.966913,2.094631,-1.274407
16.991327,2.103188,-1.290194
17.015742,2.112011,-1.306028
17.040156,2.121107,-1.321911
17.064570,2.130487,-1.337844
17.088984,2.140160,-1.353829
17.113399,2.150138,-1.369866
17.137813,2.160430,-1.385958
17.162227,2.171049,-1.402104
17.186641,2.182007,-1.418307
17.211055,2.193318,-1.434567
17.235470,2.204994,-1.450886
17.259884,2.217051,-1.467265
17.284298,2.229503,-1.483705
17.308712,2.242366,-1.500208
17.333127,2.255656,-1.516773
17.357541,2.269390,-1.533404
17.381955,2.283585,-1.550100
17.406369,2.298261,-1.566862
17.430784,2.313436,-1.583692
17.455198,2.329131,-1.600591
17.479612,2.345364,-1.617559
17.504026,2.362159,-1.634597
17.528441,2.379536,-1.651706
17.552855,2.397518,-1.668887
17.577269,2.416128,-1.686140
17.601683,2.435391,-1.703466
17.626098,2.455330,-1.720865
17.650512,2.475971,-1.738339
17.674926,2.497340,-1.755886
17.699340,2.519464,-1.773508
17.723755,2.542369,-1.791205
17.748169,2.566083,-1.808977
17.772583,2.590634,-1.826823
17.796997,2.616051,-1.844743
17.821411,2.642363,-1.862738
17.845826,2.669600,-1.880807
17.870240,2.697793,-1.898949
17.894654,2.726970,-1.917165
17.919068,2.757164,-1.935452
17.943483,2.788406,-1.953810
17.967897,2.820726,-1.972239
17.992311,2.854157,-1.990736
18.016725,2.888730,-2.009301
18.041140,2.924477,-2.027933
18.065554,2.961430,-2.046629
18.089968,2.999621,-2.065389
18.114382,3.039081,-2.084209
18.138797,3.079842,-2.103089
18.163211,3.121935,-2.122025
18.187625,3.165393,-2.141016
18.212039,3.210244,-2.160059
18.236454,3.256520,-2.179152
18.260868,3.304250,-2.198291
18.285282,3.353464,-2.217473
18.309696,3.404190,-2.236696
18.334111,3.456456,-2.255957
18.358525,3.510288,-2.275251
18.382939,3.565714,-2.294576
18.407353,3.622759,-2.313927
18.431768,3.681446,-2.333301
18.456182,3.741799,-2.352694
18.480596,3.803841,-2.372102
18.505010,3.867591,-2.391521
18.529424,3.933070,-2.410946
18.553839,4.000297,-2.430374
18.578253,4.069287,-2.449799
18.602667,4.140058,-2.469218
18.627081,4.212623,-2.488625
18.651496,4.286996,-2.508016
18.675910,4.363188,-2.527387
18.700324,4.441208,-2.546732
18.724738,4.521067,-2.566047
18.749153,4.602769,-2.585327
18.773567,4.686322,-2.604567
18.797981,4.771729,-2.623763
18.822395,4.858994,-2.642910
18.846810,4.948116,-2.662002
18.871224,5.039096,-2.681036
18.895638,5.131932,-2.700006
18.920052,5.226622,-2.718908
18.944467,5.323161,-2.737737
18.968881,5.421544,-2.756489
18.993295,5.521763,-2.775159
19.017709,5.623811,-2.793743
19.042124,5.727679,-2.812237
19.066538,5.833357,-2.830636
19.090952,5.940834,-2.848936
19.115366,6.050098,-2.867134
19.139780,6.161137,-2.885225
19.164195,6.273937,-2.903206
19.188609,6.388483,-2.921073
19.213023,6.504763,-2.938822
19.237437,6.622760,-2.956451
19.261852,6.742459,-2.973955
19.286266,6.863844,-2.991332
19.310680,6.986899,-3.008578
19.335094,7.111608,-3.025692
19.359509,7.237956,-3.042669
19.383923,7.365925,-3.059508
19.408337,7.495499,-3.076205
19.432751,7.626663,-3.092759
19.457166,7.759401,-3.109167
19.481580,7.893698,-3.125427
19.505994,8.029538,-3.141537
19.530408,8.166908,3.125690
19.554823,8.305793,3.109886
19.579237,8.446181,3.094237
19.603651,8.588058,3.078746
19.628065,8.731414,3.063414
19.652480,8.876237,3.048241
19.676894,9.022517,3.033231
19.701308,9.170246,3.018383
19.725722,9.319414,3.003700
19.750136,9.470016,2.989182
19.774551,9.622046,2.974831
19.798965,9.775498,2.960648
19.823379,9.930370,2.946634
19.847793,10.086659,2.932789
19.872208,10.244365,2.919116
19.896622,10.403489,2.905615
19.921036,10.564032,2.892287
19.945450,10.725998,2.879133
19.969865,10.889392,2.866155
19.994279,11.054222,2.853353
20.018693,11.220495,2.840728
20.043107,11.388221,2.828283
20.067522,11.557413,2.816017
20.091936,11.728084,2.803932
20.116350,11.900250,2.792031
20.140764,12.073928,2.780313
20.165179,12.249137,2.768782
20.189593,12.425899,2.757438
20.214007,12.604237,2.746283
20.238421,12.784178,2.735320
20.262836,12.965748,2.724550
20.287250,13.148979,2.713977
20.311664,13.333902,2.703601
20.336078,13.520553,2.693428
20.360492,13.708969,2.683458
20.384907,13.899190,2.673696
20.409321,14.091260,2.664144
20.433735,14.285223,2.654808
20.458149,14.481128,2.645691
20.482564,14.679028,2.636797
20.506978,14.878975,2.628131
20.531392,15.081029,2.619699
20.555806,15.285250,2.611507
20.580221,15.491704,2.603560
20.604635,15.700457,2.595866
20.629049,15.911582,2.588432
20.653463,16.125154,2.581266
20.677878,16.341254,2.574376
20.702292,16.559965,2.567773
20.726706,16.781375,2.561467
20.751120,17.005577,2.555468
20.775535,17.232667,2.549790
20.799949,17.462747,2.544445
20.824363,17.695923,2.539448
20.848777,17.932306,2.534816
20.873192,18.172012,2.530564
20.897606,18.415162,2.526713
20.922020,18.661881,2.523283
20.946434,18.912300,2.520296
20.970848,19.166553,2.517777
20.995263,19.424781,2.515754
21.019677,19.687126,2.514257
21.044091,19.953735,2.513317
21.068505,20.224758,2.512971
21.092920,20.500345,2.513258
21.117334,20.780648,2.514222
21.141748,21.065818,2.515910
21.166162,21.356001,2.518376
21.190577,21.651337,2.521677
21.214991,21.951957,2.525879
21.239405,22.257977,2.531052
21.263819,22.569491,2.537274
21.288234,22.886570,2.544632
21.312648,23.209243,2.553223
21.337062,23.537497,2.563151
21.361476,23.871252,2.574534
21.385891,24.210352,2.587500
21.410305,24.554541,2.602189
21.434719,24.903436,2.618754
21.459133,25.256498,2.637362
21.483548,25.612991,2.658193
21.507962,25.971945,2.681437
21.532376,26.332097,2.707295
21.556790,26.691844,2.735972
21.581204,27.049178,2.767676
21.605619,27.401628,2.802604
21.630033,27.746209,2.840934
21.654447,28.079386,2.882810
21.678861,28.397069,2.928321
21.703276,28.694653,2.977484
21.727690,28.967126,3.030215
21.752104,29.209253,3.086312
21.776518,29.415842,-3.137750
21.800933,29.582086,-3.076083
21.825347,29.703945,-3.012490
21.849761,29.778511,-2.947704
21.874175,29.804303,-2.882532
21.898590,29.781424,-2.817804
21.923004,29.711546,-2.754320
21.947418,29.597739,-2.692800
21.971832,29.444163,-2.633846
21.996247,29.255694,-2.577922
22.020661,29.037546,-2.525350
22.045075,28.794942,-2.476316
22.069489,28.532849,-2.430889
22.093904,28.255811,-2.389042
22.118318,27.967851,-2.350678
22.142732,27.672432,-2.315647
22.167146,27.372472,-2.283769
22.191560,27.070380,-2.254843
22.215975,26.768109,-2.228662
22.240389,26.467218,-2.205021
22.264803,26.168927,-2.183720
22.289217,25.874175,-2.164568
22.313632,25.583671,-2.147389
22.338046,25.297930,-2.132017
22.362460,25.017319,-2.118299
22.386874,24.742078,-2.106097
22.411289,24.472354,-2.095284
22.435703,24.208214,-2.085744
22.460117,23.949666,-2.077372
22.484531,23.696673,-2.070073
22.508946,23.449162,-2.063762
22.533360,23.207032,-2.058359
22.557774,22.970165,-2.053796
22.582188,22.738427,-2.050007
22.606603,22.511676,-2.046935
22.631017,22.289763,-2.044527
22.655431,22.072535,-2.042736
22.679845,21.859840,-2.041517
22.704260,21.651523,-2.040832
22.728674,21.447434,-2.040644
22.753088,21.247424,-2.040921
22.777502,21.051347,-2.041632
22.801916,20.859062,-2.042750
22.826331,20.670431,-2.044251
22.850745,20.485322,-2.046110
22.875159,20.303607,-2.048308
22.899573,20.125160,-2.050824
